,MASCH_NR,BEGIN_ZEIT,BEGIN_DAT,ENDE_ZEIT,STOERTXT_NR
0,BFO4AP01,5842,07/24/2013,5867,2
1,BFO4EP02,5867,07/24/2013,5872,104
2,BFO4BL01,5732,07/24/2013,5872,105
3,BFO4AP02,5857,07/24/2013,5872,2
4,BFO4AP01,5867,07/24/2013,5877,104
5,BK01VR01,5831,07/25/2013,5837,105
6,BFL3ETI2,12464,07/25/2013,12468,108
7,BK01LW01,13790,07/25/2013,13794,2
8,BFO4ETI2,5733,07/25/2013,5848,2
9,BFO4AP01,5818,07/25/2013,5853,2
10,BFO4EP01,5813,07/25/2013,5858,2
11,BFO4FUE1,5838,07/25/2013,5863,2
12,BFO4FUE1,5863,07/25/2013,5863,9011
13,BFO4AP02,5872,07/24/2013,5877,104
14,BFO4ETI2,5847,07/24/2013,5882,104
15,WFL1KW01,12194,07/24/2013,12196,105
16,WFL1RM01,12178,07/24/2013,12206,105
17,WFL1RM01,12206,07/24/2013,12210,111
18,WFL1BL01,12038,07/24/2013,12230,2
19,WFL1BL01,12230,07/24/2013,12242,104
20,BFL3BL01,14060,07/24/2013,14062,106
21,BFL3KW01,15030,07/24/2013,15042,104
22,BFL3EK02,16271,07/24/2013,16273,105
23,BFL3EK02,16769,07/24/2013,16771,105
24,BFO4AP02,5877,07/24/2013,5882,2
25,BFO4FUE1,5862,07/24/2013,5887,2
26,BFO4FUE1,5887,07/24/2013,5887,9011
27,BFO4EP02,5872,07/24/2013,5892,2
28,BFO4AP02,5882,07/24/2013,5892,104
29,BFO4AP01,5877,07/24/2013,5897,2
30,BFO4EP01,5787,07/24/2013,5902,2
31,BFO4AP01,5897,07/24/2013,5902,104
32,BFO4EP01,5902,07/24/2013,5912,104
33,BFO4AP01,5902,07/24/2013,5912,2
34,BFO4ETI2,5882,07/24/2013,5917,2
35,BFO4AP01,5912,07/24/2013,5917,104
36,BFL3BL01,16945,07/24/2013,17012,106
37,BFL3KW01,17048,07/24/2013,17116,104
38,BFL3EK01,17204,07/24/2013,17220,2
39,BFO4AP02,5892,07/24/2013,5917,2
40,BFO4EP02,5892,07/24/2013,5922,104
41,BFO4AP02,5917,07/24/2013,5922,104
42,BFO4FUE1,5887,07/24/2013,5927,2
43,BFO4FUE1,5927,07/24/2013,5927,9011
44,BFO4AP02,5922,07/24/2013,5937,2
45,BFO4EL01,5772,07/24/2013,5942,2
46,BFO4AP02,5937,07/24/2013,5942,104
47,BFO4RM01,5737,07/24/2013,5947,104
48,BFO4ETI2,5917,07/24/2013,5952,112
49,BFO4EP02,5922,07/24/2013,5952,2
50,BFO4FUE1,5927,07/24/2013,5957,2
51,BFO4FUE1,5957,07/24/2013,5957,9011
52,BFO4AP01,5917,07/24/2013,5957,2
53,BFL5AR01,17323,07/24/2013,17327,104
54,BFL3EK01,5986,07/24/2013,5988,105
55,BFL3EK02,5984,07/24/2013,5988,105
56,BFL3EK01,5988,07/24/2013,5996,2
57,BFL3EK02,5988,07/24/2013,5996,2
58,BFL3EK01,5996,07/24/2013,5998,105
59,BFL3EK02,5996,07/24/2013,5998,105
60,BFL3EK01,5998,07/24/2013,6006,2
61,BFL3EK02,5998,07/24/2013,6006,2
62,BFO4AP02,5942,07/24/2013,5957,2
63,BFO4AP01,5957,07/24/2013,5962,104
64,BFO4AP02,5957,07/24/2013,5967,104
65,BFO4AP02,5967,07/24/2013,5977,2
66,BFO4FUE1,5957,07/24/2013,5982,2
67,BFO4FUE1,5982,07/24/2013,5982,9011
68,BFO4AP02,5977,07/24/2013,5982,104
69,BFO4AP41,1955,07/24/2013,5982,104
70,BFL3EK01,6006,07/24/2013,6008,105
71,BFL3EK02,6006,07/24/2013,6008,105
72,BFL6AP01,17412,07/24/2013,17418,2
73,BFL2KT01,82807,07/23/2013,17482,4
74,BK01LW01,17539,07/24/2013,17591,2
75,BFL5AR01,17648,07/24/2013,17650,2
76,BFL6KW01,17633,07/24/2013,17721,2
77,BFL6EK01,17759,07/24/2013,17771,105
78,BFL2EP01,17802,07/24/2013,17812,104
79,BFL5AR01,17865,07/24/2013,17867,2
80,BFL2FUE1,17922,07/24/2013,17922,9011
81,BFL3KW01,17947,07/24/2013,17967,2
82,BFO4FUE1,17964,07/24/2013,18000,2
83,BFL6KW01,17988,07/24/2013,18000,105
84,BFL3RM01,17959,07/24/2013,18000,2
85,BFO4EP02,5952,07/24/2013,5992,104
86,BFO4AP01,5962,07/24/2013,5992,2
87,BFO4FUE1,5982,07/24/2013,5997,2
88,BFO4FUE1,5997,07/24/2013,5997,9011
89,BFO4AP01,5992,07/24/2013,5997,104
90,BFO4RM01,5947,07/24/2013,5997,2
91,BFO4EP02,5992,07/24/2013,6002,2
92,BFL3EK02,6008,07/24/2013,6024,2
93,BFL3EK02,6024,07/24/2013,6026,105
94,BFL3EP01,5189,07/24/2013,6028,111
95,BFL3EP01,6028,07/24/2013,6032,2
96,BFL3EK01,6008,07/24/2013,6034,2
97,BFO4AP01,5997,07/24/2013,6007,2
98,BFO4AP01,6007,07/24/2013,6012,104
99,BFO4AP02,5982,07/24/2013,6012,2
